# BUSCO version is: 3.0.1 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python /scratch/mutemi/BUSCO_Platy_seq/BUSCO_results/BUSCO_PacBio_Platy/run_BUSCO.py -i /scratch/mutemi/BUSCO_Platy_seq/platygenome_Seq_Data/canu_pacbio.contigs.fasta -o busco_platy_canu_pacbio_%j -l /scratch/mutemi/BUSCO_Platy_seq/BUSCO_Lineages/metazoa_odb9/ -m genome -c 1 --long -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091G00AH	Fragmented	tig00077232	1209	12615	246.3	213
EOG091G00CM	Complete	tig00022098	18241	48536	447.4	338
EOG091G00GM	Complete	tig00020969	22687	39293	401.2	426
EOG091G00GQ	Complete	tig00014996	16129	41225	619.9	556
EOG091G00L0	Complete	tig00009417	38883	68295	1382.7	1217
EOG091G00MA	Complete	tig00015712	4425	39429	887.8	946
EOG091G00MI	Complete	tig00031410	2932	25244	403.5	280
EOG091G00Q0	Duplicated	tig00002513	15223	26885	1773.3	1006
EOG091G00Q0	Duplicated	tig00376014	21936	43394	1537.8	850
EOG091G00QT	Complete	tig00010138	2366	22725	554.0	463
EOG091G00UD	Complete	tig00379439	92	15845	755.6	461
EOG091G00VZ	Complete	tig00002369	57618	81288	1041.7	738
EOG091G00Z3	Complete	tig00001054	242838	273725	1207.0	761
EOG091G011X	Complete	tig00006762	10696	30044	1456.5	941
EOG091G017G	Complete	tig00041642	3490	15655	1507.7	850
EOG091G017T	Complete	tig00012006	16756	43674	1102.0	686
EOG091G019V	Complete	tig00019488	5457	59901	965.5	696
EOG091G01EW	Complete	tig00017464	5286	38405	992.4	675
EOG091G01GC	Complete	tig00001588	177987	215751	1065.6	592
EOG091G01IW	Complete	tig00007470	64500	71853	1421.2	779
EOG091G01LC	Complete	tig00036184	1261	11386	356.6	314
EOG091G01MK	Complete	tig00042187	18051	39910	955.0	780
EOG091G01S9	Missing
EOG091G01TH	Fragmented	tig00050098	13215	34215	211.5	151
EOG091G01TX	Complete	tig00001105	615523	692512	614.5	524
EOG091G01VH	Duplicated	tig00007068	1	19395	1186.5	723
EOG091G01VH	Duplicated	tig00022435	15496	33756	1018.4	772
EOG091G01WY	Complete	tig00001268	163460	188594	608.3	472
EOG091G01XD	Complete	tig00028742	233	27639	712.7	597
EOG091G01XI	Complete	tig00053168	28259	34853	516.7	379
EOG091G01XQ	Fragmented	tig00052749	1416	16138	204.4	213
EOG091G01Z2	Fragmented	tig00052732	3385	12675	281.4	312
EOG091G020E	Complete	tig00031410	27309	36273	612.5	393
EOG091G020Y	Complete	tig00083413	11152	37594	723.8	413
EOG091G023Z	Fragmented	tig00010438	53907	67903	335.3	282
EOG091G024J	Fragmented	tig00030297	4816	13799	456.4	297
EOG091G025T	Complete	tig00001469	68859	99071	1079.1	880
EOG091G0262	Missing
EOG091G026F	Missing
EOG091G026I	Complete	tig00009937	61202	74010	881.2	691
EOG091G027G	Complete	tig00005515	137939	168288	750.8	547
EOG091G028G	Complete	tig00046044	6336	15680	963.9	750
EOG091G0291	Complete	tig00083730	386792	438381	995.3	530
EOG091G029K	Complete	tig00060031	1973	14265	648.3	679
EOG091G02B4	Complete	tig00008867	16851	33178	553.6	399
EOG091G02BK	Complete	tig00375923	50491	70483	1162.6	673
