# BUSCO version is: 3.0.1 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python run_BUSCO.py -i platy.falcon.fa -o busco_platy_falcon_pacbio -l /g/arendt/kevin/Genome_Analysis/BUSCO/BUSCO_lineages/metazoa_odb9/ -m genome -c 1 --long -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091G00AH	Complete	002017F	115939	132195	598.5	603
EOG091G00CM	Complete	004850F	43295	65616	457.4	336
EOG091G00GM	Complete	001873F	36565	67159	559.0	606
EOG091G00GQ	Complete	001891F	65043	78706	697.4	531
EOG091G00L0	Complete	004108F	39838	72743	843.2	917
EOG091G00MA	Complete	001917F	6741	41600	750.0	908
EOG091G00MI	Complete	003619F	1	22320	247.5	194
EOG091G00Q0	Duplicated	003371F	29724	53543	1093.4	637
EOG091G00Q0	Duplicated	011780F	4339	28782	1107.9	633
EOG091G00QT	Complete	010009F	1214	18565	756.2	634
EOG091G00UD	Complete	003787F	34501	49944	715.1	466
EOG091G00VZ	Complete	000066F	1167723	1191322	1007.1	764
EOG091G00Z3	Complete	000131F	307672	325061	919.5	598
EOG091G011X	Complete	011812F	21238	43733	964.8	854
EOG091G017G	Complete	005624F	28418	39890	882.2	556
EOG091G017T	Complete	000953F	240071	252492	610.6	422
EOG091G019V	Complete	008455F	1	48555	648.1	403
EOG091G01EW	Complete	001011F	22280	39435	506.1	377
EOG091G01GC	Complete	000157F	488831	514969	1049.7	769
EOG091G01IW	Complete	004894F	81942	86876	1031.8	649
EOG091G01LC	Complete	006280F	84505	100388	395.2	399
EOG091G01MK	Complete	002252F	18321	49743	615.9	522
EOG091G01S9	Complete	018163F	1374	17729	179.9	611
EOG091G01TH	Duplicated	000759F	7682	32566	433.8	346
EOG091G01TH	Duplicated	003853F	113006	140865	387.4	272
EOG091G01TX	Fragmented	000235F	508217	508525	84.1	85
EOG091G01VH	Complete	002141F	175439	195958	1143.5	769
EOG091G01WY	Complete	001335F	183427	208438	203.3	221
EOG091G01XD	Complete	008313F	841	27392	337.9	636
EOG091G01XI	Complete	013750F	1	8149	247.9	342
EOG091G01XQ	Complete	004832F	104384	115249	818.4	435
EOG091G01Z2	Complete	010215F	2889	21055	445.0	511
EOG091G020E	Fragmented	003619F	8167	26788	290.1	363
EOG091G020Y	Fragmented	000099F	1154908	1165214	246.7	190
EOG091G023Z	Complete	010527F	428	12286	606.1	449
EOG091G024J	Complete	000870F	276049	284045	491.6	464
EOG091G025T	Complete	002842F	56084	101684	915.5	834
EOG091G0262	Fragmented	012334F	44822	46005	125.0	100
EOG091G026F	Missing
EOG091G026I	Complete	000952F	34284	45493	406.1	431
EOG091G027G	Complete	001636F	140614	169341	800.5	628
EOG091G028G	Complete	003480F	19566	41919	780.3	618
EOG091G0291	Complete	000068F	1050561	1099130	951.9	530
EOG091G029K	Complete	011447F	24948	51373	393.5	510
EOG091G02B4	Complete	004071F	18070	32616	529.1	344
EOG091G02BK	Complete	002002F	170074	194129	464.5	353
EOG091G02C8	Complete	007646F	49723	72891	224.5	276
EOG091G02E4	Complete	000658F	102670	141141	324.7	344
EOG091G02FR	Complete	006793F	48127	79913	543.3	423
EOG091G02HY	Complete	000195F	316232	335394	483.6	557
EOG091G02IP	Complete	001797F	19902	44041	378.3	327
EOG091G02LY	Complete	008427F	3316	11990	651.8	453
EOG091G02MR	Complete	004071F	44911	74076	976.7	672
EOG091G02NH	Complete	000088F	1051723	1077907	815.2	462
EOG091G02NO	Complete	000195F	66465	105690	597.8	473
EOG091G02O5	Fragmented	000930F	249605	256047	46.5	62
EOG091G02O6	Complete	000119F	557800	592586	818.8	550
EOG091G02OE	Complete	000931F	176584	189363	107.0	208
EOG091G02P2	Complete	002343F	89786	113046	444.3	481
EOG091G02UC	Complete	005786F	1	12693	283.0	251
EOG091G02V5	Complete	000066F	202070	231557	665.8	537
EOG091G02VO	Complete	015642F	22847	28399	455.2	273
EOG091G02WU	Complete	000256F	231987	251100	523.4	490
EOG091G02ZI	Complete	017316F	206	15005	222.5	222
EOG091G0307	Fragmented	012426F	23390	34949	430.9	372
EOG091G031X	Complete	000104F	283051	324418	306.5	390
EOG091G0321	Complete	003865F	44511	59652	266.1	244
EOG091G0349	Complete	000129F	94442	128464	314.6	553
EOG091G036A	Complete	002692F	141384	160964	776.2	521
EOG091G036C	Complete	004004F	67839	103194	351.6	260
EOG091G036T	Complete	006872F	18846	50730	347.8	494
EOG091G038T	Duplicated	005296F	33319	48916	331.0	263
EOG091G038T	Duplicated	007370F	76284	81915	311.6	225
EOG091G038X	Complete	000165F	696276	724376	456.4	444
EOG091G03AN	Complete	001575F	193213	205595	281.9	316
EOG091G03B9	Complete	008135F	25370	33054	332.3	311
EOG091G03BV	Complete	001045F	238772	265207	637.0	427
EOG091G03C0	Fragmented	006696F	64304	66374	129.5	123
EOG091G03C7	Complete	000478F	274934	290467	498.2	325
EOG091G03D7	Complete	000006F	1237212	1271434	554.0	411
EOG091G03DT	Complete	000786F	130139	138856	275.9	268
EOG091G03FL	Missing
EOG091G03G3	Complete	002549F	30375	43012	207.0	361
EOG091G03H4	Complete	003110F	93446	124900	550.9	383
EOG091G03I1	Complete	000088F	870571	890571	638.4	468
EOG091G03JF	Complete	006556F	75380	87007	194.8	195
EOG091G03JG	Complete	000267F	8856	37460	697.7	469
EOG091G03JX	Complete	000305F	309713	329767	578.0	510
EOG091G03LI	Complete	000171F	763231	772070	268.2	352
EOG091G03M4	Complete	001888F	16586	24518	371.5	344
EOG091G03O0	Complete	000315F	96494	108815	309.3	310
EOG091G03OT	Complete	003334F	116521	128733	838.3	567
EOG091G03P0	Complete	006366F	25690	37155	482.2	436
EOG091G03PD	Complete	000035F	1431141	1447488	604.0	394
EOG091G03QC	Complete	000287F	341987	353056	312.0	320
EOG091G03RW	Complete	000322F	283753	296789	223.1	296
EOG091G03SE	Fragmented	000519F	397696	400053	295.5	222
EOG091G03TX	Complete	000014F	352567	390205	1207.9	760
EOG091G03TZ	Fragmented	013396F	27339	31618	92.1	169
EOG091G03X8	Duplicated	001286F	158609	194667	276.1	437
EOG091G03X8	Duplicated	009197F	12070	53394	311.5	435
EOG091G03XO	Complete	003756F	109985	134335	599.8	399
EOG091G03XS	Complete	000550F	325774	354913	377.0	369
EOG091G03Y8	Missing
EOG091G03Z1	Complete	000292F	331782	342061	714.1	569
